Sales_ID,Order_Date,Customer_ID,Product_ID,Rep_ID,Quantity,Product_Cost,Selling_Price,Discount%,After_Discount_Price,Payment_Method,Region,Order_Status
SALE00001,2024-03-01,CUST013,PROD010,REP004,2,1396.44,2283.74,5,2169.55,NetBanking,East,Success
SALE00002,2023-06-29,CUST103,PROD002,REP003,1,237.74,288.91,25,216.68,Wallet,South,Success
SALE00003,2023-07-25,CUST045,PROD005,REP008,1,332.89,592.54,25,444.4,Wallet,North,Success
SALE00004,2023-05-16,CUST033,PROD012,REP009,3,369.36,496.65,25,372.49,Card,West,Success
SALE00005,2025-03-16,CUST005,PROD008,REP002,5,2208.75,3814.15,25,2860.61,Card,West,Success
SALE00006,2024-07-06,CUST005,PROD014,REP009,1,306.04,400.52,10,360.47,NetBanking,West,Success
SALE00007,2025-06-16,CUST002,PROD007,REP006,1,597.82,1021.42,0,1021.42,Cash,West,Success
SALE00008,2024-01-10,CUST074,PROD014,REP012,1,306.04,400.52,30,280.36,UPI,South,Success
SALE00009,2024-06-27,CUST034,PROD007,REP003,1,597.82,1021.42,15,868.21,UPI,South,Success
SALE00010,2024-05-28,CUST043,PROD015,REP001,1,479.81,607.94,20,486.35,Wallet,South,Success
SALE00011,2025-07-24,CUST001,PROD015,REP004,1,479.81,607.94,10,547.15,UPI,East,Success
SALE00012,2023-10-07,CUST111,PROD006,REP006,2,974.7,1532.62,0,1532.62,UPI,West,Success
SALE00013,2025-04-30,CUST065,PROD014,REP008,1,306.04,400.52,25,300.39,UPI,North,Success
SALE00014,2023-06-18,CUST006,PROD013,REP010,1,232.47,275.82,5,262.03,NetBanking,West,Success
SALE00015,2023-09-21,CUST005,PROD005,REP002,2,665.78,1185.08,15,1007.32,Card,West,Success
SALE00016,2025-07-24,CUST005,PROD010,REP011,1,698.22,1141.87,25,856.4,Card,West,Success
SALE00017,2025-04-24,CUST009,PROD002,REP008,1,237.74,288.91,5,274.46,NetBanking,North,Success
SALE00018,2025-08-24,CUST026,PROD013,REP002,2,464.94,551.64,10,496.48,Cash,West,Success
SALE00019,2024-05-08,CUST018,PROD004,REP003,1,291.71,459.62,30,321.73,Wallet,South,Success
SALE00020,2025-04-05,CUST009,PROD002,REP008,1,237.74,288.91,5,274.46,Card,North,Success
SALE00021,2023-10-30,CUST034,PROD007,REP012,1,597.82,1021.42,0,1021.42,UPI,South,Success
SALE00022,2025-02-03,CUST004,PROD009,REP008,1,32.84,39.23,0,39.23,UPI,North,Success
SALE00023,2025-06-10,CUST009,PROD013,REP008,2,464.94,551.64,10,496.48,Cash,North,Success
SALE00024,2023-12-13,CUST012,PROD015,REP004,1,479.81,607.94,10,547.15,UPI,East,Success
SALE00025,2025-04-03,CUST020,PROD007,REP010,1,597.82,1021.42,10,919.28,Cash,North,Success
SALE00026,2023-04-28,CUST050,PROD001,REP008,1,350.77,411.83,20,329.46,NetBanking,North,Success
SALE00027,2024-04-24,CUST006,PROD012,REP006,4,492.48,662.2,0,662.2,Wallet,West,Success
SALE00028,2023-03-19,CUST025,PROD009,REP003,1,32.84,39.23,10,35.31,Card,South,Success
SALE00029,2023-05-25,CUST033,PROD007,REP009,1,597.82,1021.42,25,766.06,NetBanking,West,Success
SALE00030,2025-02-11,CUST002,PROD006,REP002,4,1949.4,3065.24,0,3065.24,Wallet,West,Success
SALE00031,2023-08-20,CUST034,PROD008,REP012,4,1767,3051.32,15,2593.62,Card,South,Success
SALE00032,2025-05-30,CUST005,PROD006,REP011,1,487.35,766.31,15,651.36,NetBanking,West,Success
SALE00033,2024-11-23,CUST002,PROD012,REP002,1,123.12,165.55,5,157.27,Card,West,Success
SALE00034,2025-01-11,CUST102,PROD009,REP007,1,32.84,39.23,5,37.27,UPI,South,Success
SALE00035,2024-11-21,CUST110,PROD014,REP008,1,306.04,400.52,5,380.49,Wallet,North,Success
SALE00036,2024-02-11,CUST057,PROD008,REP007,2,883.5,1525.66,5,1449.38,Wallet,Central,Success
SALE00037,2025-05-16,CUST009,PROD005,REP008,1,332.89,592.54,15,503.66,NetBanking,North,Success
SALE00038,2025-04-03,CUST003,PROD013,REP008,1,232.47,275.82,5,262.03,NetBanking,North,Success
SALE00039,2024-07-24,CUST041,PROD009,REP002,1,32.84,39.23,10,35.31,Cash,West,Success
SALE00040,2024-01-10,CUST019,PROD005,REP002,4,1331.56,2370.16,5,2251.65,Card,West,Success
SALE00041,2023-04-03,CUST004,PROD010,REP008,1,698.22,1141.87,10,1027.68,Card,North,Success
SALE00042,2025-03-20,CUST024,PROD006,REP009,1,487.35,766.31,5,727.99,Wallet,West,Returned
SALE00043,2024-02-09,CUST001,PROD013,REP001,5,1162.35,1379.1,5,1310.14,UPI,East,Success
SALE00044,2023-01-15,CUST090,PROD008,REP010,1,441.75,762.83,30,533.98,Cash,North,Success
SALE00045,2023-09-28,CUST008,PROD011,REP003,1,534.18,858.71,10,772.84,Card,South,Success
SALE00046,2024-07-03,CUST039,PROD002,REP011,1,237.74,288.91,15,245.57,UPI,West,Success
SALE00047,2023-05-07,CUST009,PROD007,REP008,1,597.82,1021.42,10,919.28,Card,North,Success
SALE00048,2024-04-10,CUST026,PROD015,REP006,1,479.81,607.94,25,455.96,Card,West,Success
SALE00049,2024-01-13,CUST028,PROD012,REP008,1,123.12,165.55,10,149,Card,North,Success
SALE00050,2024-11-19,CUST005,PROD003,REP009,1,77,134.12,10,120.71,Wallet,West,Success
SALE00051,2025-02-05,CUST111,PROD005,REP003,1,332.89,592.54,10,533.29,Wallet,West,Success
SALE00052,2024-11-19,CUST049,PROD006,REP010,1,487.35,766.31,10,689.68,NetBanking,West,Success
SALE00053,2023-09-26,CUST100,PROD010,REP011,1,698.22,1141.87,5,1084.78,NetBanking,West,Success
SALE00054,2024-08-21,CUST085,PROD012,REP011,1,123.12,165.55,5,157.27,Cash,West,Success
SALE00055,2024-01-26,CUST033,PROD012,REP011,1,123.12,165.55,0,165.55,Card,West,Success
